algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
ENN,0-0-0,0-16-1,2-13-2,4-10-3,1-13-3,9-5-3,1-13-3,1-13-3,0-15-2
Imbalanced,1-16-0,0-0-0,2-14-1,5-12-0,1-14-2,9-8-0,0-16-1,1-14-2,0-17-0
ROS,2-13-2,1-14-2,0-0-0,5-11-1,0-16-1,12-4-1,0-16-1,0-16-1,1-14-2
RUS,3-10-4,0-12-5,1-11-5,0-0-0,0-11-6,5-10-2,0-14-3,0-12-5,0-13-4
SMOTE,3-13-1,2-14-1,1-16-0,6-11-0,0-0-0,11-6-0,0-17-0,0-17-0,0-17-0
SMOTE ENN,3-5-9,0-8-9,1-4-12,2-10-5,0-6-11,0-0-0,0-5-12,0-6-11,0-7-10
SMOTE SVM,3-13-1,1-16-0,1-16-0,3-14-0,0-17-0,12-5-0,0-0-0,0-17-0,0-17-0
SMOTE Tomek,3-13-1,2-14-1,1-16-0,5-12-0,0-17-0,11-6-0,0-17-0,0-0-0,2-13-2
Tomek,2-15-0,0-17-0,2-14-1,4-13-0,0-17-0,10-7-0,0-17-0,2-13-2,0-0-0
