algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
ENN,0-0-0,1-13-3,1-13-3,8-7-2,1-13-3,10-5-2,1-13-3,1-13-3,0-14-3
Imbalanced,3-13-1,0-0-0,3-14-0,8-9-0,2-15-0,11-6-0,2-15-0,2-14-1,0-17-0
ROS,3-13-1,0-14-3,0-0-0,6-11-0,0-16-1,8-8-1,1-14-2,0-16-1,0-15-2
RUS,2-7-8,0-9-8,0-11-6,0-0-0,0-8-9,4-8-5,0-8-9,0-9-8,0-9-8
SMOTE,3-13-1,0-15-2,1-16-0,9-8-0,0-0-0,11-5-1,0-16-1,0-17-0,0-15-2
SMOTE ENN,2-5-10,0-6-11,1-8-8,5-8-4,1-5-11,0-0-0,0-5-12,0-7-10,0-6-11
SMOTE SVM,3-13-1,0-15-2,2-14-1,9-8-0,1-16-0,12-5-0,0-0-0,1-16-0,0-15-2
SMOTE Tomek,3-13-1,1-14-2,1-16-0,8-9-0,0-17-0,10-7-0,0-16-1,0-0-0,0-15-2
Tomek,3-14-0,0-17-0,2-15-0,8-9-0,2-15-0,11-6-0,2-15-0,2-15-0,0-0-0
