algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
ENN,0-0-0,2-12-3,3-10-4,11-4-2,2-11-4,11-3-3,3-11-3,4-9-4,1-13-3
Imbalanced,3-12-2,0-0-0,4-12-1,12-5-0,3-11-3,14-3-0,3-14-0,3-14-0,0-17-0
ROS,4-10-3,1-12-4,0-0-0,13-3-1,0-14-3,11-5-1,0-13-4,1-15-1,1-13-3
RUS,2-4-11,0-5-12,1-3-13,0-0-0,0-3-14,4-6-7,0-4-13,0-4-13,0-3-14
SMOTE,4-11-2,3-11-3,3-14-0,14-3-0,0-0-0,13-3-1,0-16-1,0-17-0,2-12-3
SMOTE ENN,3-3-11,0-3-14,1-5-11,7-6-4,1-3-13,0-0-0,1-4-12,1-4-12,0-3-14
SMOTE SVM,3-11-3,0-14-3,4-13-0,13-4-0,1-16-0,12-4-1,0-0-0,1-16-0,0-14-3
SMOTE Tomek,4-9-4,0-14-3,1-15-1,13-4-0,0-17-0,12-4-1,0-16-1,0-0-0,0-14-3
Tomek,3-13-1,0-17-0,3-13-1,14-3-0,3-12-2,14-3-0,3-14-0,3-14-0,0-0-0
