algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
ENN,0-0-0,1-13-3,1-14-2,3-12-2,1-14-2,5-9-3,0-15-2,1-14-2,0-15-2
Imbalanced,3-13-1,0-0-0,2-15-0,4-13-0,0-17-0,8-9-0,1-16-0,1-15-1,0-17-0
ROS,2-14-1,0-15-2,0-0-0,3-14-0,0-17-0,4-12-1,1-16-0,0-17-0,0-15-2
RUS,2-12-3,0-13-4,0-14-3,0-0-0,0-12-5,3-12-2,0-14-3,0-13-4,0-14-3
SMOTE,2-14-1,0-17-0,0-17-0,5-12-0,0-0-0,6-11-0,0-16-1,0-17-0,0-17-0
SMOTE ENN,3-9-5,0-9-8,1-12-4,2-12-3,0-11-6,0-0-0,0-12-5,0-13-4,0-12-5
SMOTE SVM,2-15-0,0-16-1,0-16-1,3-14-0,1-16-0,5-12-0,0-0-0,1-16-0,0-17-0
SMOTE Tomek,2-14-1,1-15-1,0-17-0,4-13-0,0-17-0,4-13-0,0-16-1,0-0-0,0-16-1
Tomek,2-15-0,0-17-0,2-15-0,3-14-0,0-17-0,5-12-0,0-17-0,1-16-0,0-0-0
