algorithm,ENN,Imbalanced,ROS,RUS,SMOTE,SMOTE ENN,SMOTE SVM,SMOTE Tomek,Tomek
ENN,0-0-0,2-12-3,3-10-4,7-7-3,2-9-6,11-2-4,2-8-7,3-9-5,2-12-3
Imbalanced,3-12-2,0-0-0,3-12-2,6-10-1,1-9-7,12-3-2,1-12-4,1-12-4,0-15-2
ROS,4-10-3,2-12-3,0-0-0,8-7-2,0-14-3,10-6-1,0-13-4,0-15-2,2-12-3
RUS,3-7-7,1-10-6,2-7-8,0-0-0,0-7-10,7-6-4,0-7-10,0-8-9,1-7-9
SMOTE,6-9-2,7-9-1,3-14-0,10-7-0,0-0-0,14-3-0,0-16-1,1-16-0,4-12-1
SMOTE ENN,4-2-11,2-3-12,1-6-10,4-6-7,0-3-14,0-0-0,0-5-12,0-4-13,2-3-12
SMOTE SVM,7-8-2,4-12-1,4-13-0,10-7-0,1-16-0,12-5-0,0-0-0,1-16-0,4-12-1
SMOTE Tomek,5-9-3,4-12-1,2-15-0,9-8-0,0-16-1,13-4-0,0-16-1,0-0-0,3-12-2
Tomek,3-12-2,2-15-0,3-12-2,9-7-1,1-12-4,12-3-2,1-12-4,2-12-3,0-0-0
